法律,fa3lv n. law
俩,lia3 num。Two，both
印象,yin4xiang4 n. impression
深,shen1 adj. deep
熟悉,shu2xi v. to be familiar with
不仅,bu4jin3 con. Not only
性格,xing4ge2 n. character
李进,Li3 Jin4 Name of a person
开玩笑,kai1wan2xia4o to be kidding
从来,"cong2lai2 adv. Always, all"
最好,zui4ha3o adv. Had better
共同,"gong4tong2 adj. common, shared"
适合,"shi4he2 v. to suit, to fit"
幸福,xing4fu2 adj. to be happy
生活,sheng1huo2 n.\v. life\to live
刚,"gang1 adv. Just, not long"
浪漫,lang4man4 adj. romantic
够,gou4 v. to be enough
缺点,que1dian3 n. shortcoming
接受,jie1shou4 v. to accept
羡慕,"xian4mu4 v. to envy, to admire"
爱情,ai4qing2 n. to love [between men and woman]
星星,xing1xing n. star
即使,ji2shi3 conj. Even if
加班,jia1ban1 v. to work overtime
亮,"liang4 v. to shine, to be lit"
感动,"gan3dong4 v. to touch, to move"
自然,"zi4ran2 adv. Naturally, certainly"
原因,yuan2yin1 n. reason
互相,hu4xiang1 adv. Mutually
吸引,xi1yin3 v. to attract
幽默,you1mo4 adj. humorous
脾气,"pi2qi n. temper, disposition"
适应,shi4ying4 v. to get used to
交,jiao1 v. to make {friends}
平时,"ping2shi2 n. usually, normal times"
逛,"guang4 v. to stroll, to roam"
短信,duan3xin4 n. text message
正好,"zheng4hao3 adv. Just in time, just right"
夏,xia4 Chinese Family Name
马克,ma3ke4  Mark
聚会,"ju4hui4 v.\n. to have a party, party"
联系,lian2xi4 v. to contact
差不多,cha4buduo1 adv. Almost
专门,zhuan1men2 adv. Specially
毕业,bi4ye4 v. to graduate
麻烦,ma2fan v. to bother
好像,hao3xiang4 adv. As if
重新,"chong2xin1 adv. Again, once more"
尽管,jin3guan3 cong. Although
真正,"zhen1zheng4 adj. true, real"
友谊,you3yi4 n. friendship
丰富,feng1fu4 v. to enrich
无聊,wu2liao2 adj. boring
讨厌,tao3yan4 v. to dislike
却,"que4 adv. But, yet"
周围,zhou1wei2 n. surrounding
交流,"jiao1liu2 v. to exchange, to communicate"
理解,li3jie3 v. to understand
镜子,jing4zi n. mirror
而,"er2 conj. While, yet"
当,"dang1 prep. When, just at [timer or place]"
困难,kun4nan n. difficulty
即使,ji2shi2 adv. In time 
陪,pei2 v. to accompany
挺,"ting3 adv. Quite, rather"
紧张,jin3zhang1 adj. nervous
信心,xin4xin n. confidence
能力,"nenf2li4 n. ability, competence"
招聘,zhao1pin4 v. to recruit
提供,ti2gong1 v. to provide
负责,fu4ze2 v. to be in charge of
本来,"ben3lai2 adv. Originally, at first"
应聘,ying4pin4 v. to apply for a job
材料,"cai2liao4 n. data, material"
符合,fu2he2 v. to accord with
通知,tong1zhi1 v. to inform
律师,lvshi1 n. lawyer
专业,"zhan1ye4 n. major, speciality"
另外,"ling4wai4 conj. Besides, in action"
收入,shou1ru4 n. income
咱们,"zan2men pron. We, us"
安排,an1pai2 v. to arrange
首先,shou3xian1 pron. First
正式,zheng1shi1 adj. formal
留,liu2 v. to leave
其次,"qi2ci4 pron. Secont, next"
诚实,cheng2shi2 adj. honest
改变,gai3bian4 v. to change
感觉,gan3jue2 n. feeling
判断,"pan4duan4 v. to judge, to decide"
顾客,"gu4ke4 n. costumer, client"
准时,"zhun3shi2 adj. punctual, on time"
不管,"bu4guan3 conj. No matter [what,how, etc]"
与,yu3 prep. With
约会,"yue1hui4 v. to date, to go to an appointment"
提,ti2 v. to mention
以为,"yi3wei2 v. to think, to believe"
份,fen4 m. used for jobs among other things
完全,wan2quan2 adv. Completely
赚,zhuan4 v. to earn
调查,"diao4cha2 v. to survey, to investigate"
原来,yuan2lai2 adj. original
计划,"ji4hua4 n.\v. plan, to intend to"
提前,ti2qian2 v. to do in advance or ahead of time
保证,bao3zheng4 v. to guarantee
提醒,ti2xing3 v. to remind
乱,"luan4 adj. chaos, anarchy, distraction, confusion"
生意,"sheng1yi n. business, trade"
谈,"tan2 v. to talk, to discuss"
并,bing4 adv. Used before a negative for emphasis
积累,ji1lei3 v. to accumulate
经验,jing1yan4 n. experience
一切,"yi2qie4 pron. All, every"
按照,an4zhao4 prep. According to
成功,cheng2gong1 adj. succesful
顺利,shun4li4 adj. smooth
感谢,gan3xie4 v. to thank
消息,xiao1xi n. news
按时,an4shi2 adv. On time
奖金,"jiang3jin1 n. money award, bonus"
家具,jia1ju4 n. furniture
沙发,sha1fa1 n. sofa
打折,da3zhe2. v. to give a discount
价格,jia4ge2 n. price
质量,zhi4liang4 n. quality
肯定,"ken3ding4 adv. Surely, certainly"
流行,liu2xing2 v. to be popular
顺便,shun4bian4 adv. By the way
台,tai2 m. used for machines
光,"guang1 adv. Only, merely"
实在,shi2zai4 adv. Really
制冷,zhi4leng3 v. to refrigerate
效果,xiao4guo3 n. effect
现金,xian4jin1 n. cash
通过,"tong1guo4 v. to pass, to aprove"
面试,mian4shi4 n. interview
邀请,yao1qing3 v. to invite
葡萄,pu2tao n. grape
艺术,yi4shu4 n. art
广告,guang3gao4 n. advertisment
味道,wei4dao4 n. taste
优点,you1dian3 n. merit
实际,shi2ji4 n. reality
考虑,kao3lv v. to consider 
标准,biao1zhun3 n. standard
样子,"yang4zi n. look, appereance"
年龄,nian2ling2 n. age
浪费,lang4fei4 v. to waste
购物,"gou4wu4 to shop, to buy things"
尤其,you2qi2 adv. Especially
受到,shou4dao4 v. to receive
任何,ren4he2 v. to receive
寄,"ji4 v. to mail, to send"
果汁,guo3zhi1 n. fruit juice
售货员,shou4huo4yuan2 n. salesperson
袜子,wa4zi n. socks
打扰,"da3rao3 v. to disturb, to bother"
竟然,jing4ran2 adv. Indicating unexpectedness
西红柿,xi1hong2shi4 n. tomato
百分之,bai3fen1zhi1 percent
倍,"bei4 m. times, -fold"
皮肤,pi2fu1 n. skin
好处,"hao3chu4 n. benefit, advantage"
尝,chang2 v. to taste
轻,"qing1 adj. light, of light weigth"
方面,fang1mian4 n. aspect
值得,zhi2de2 v. to be worth
活动,"huo2dong4 n. activity, event"
内,"nei4 n. in, within"
免费,mian3fei4 v. free of charge
修理,"xiu1li3 v. to repair, to mend"
支持,zhi1chi2 v. to support
举行,"ju3xing2 v. to hold (a meeting, event, etc)"
满,man3 v. to reach a quota or limit
其中,"qi2zhong1 n. among (which, them, etc.)"
小说,"xiao3shuo1 n. novel, fiction"
会员卡,hui4yuan2ka3 n. membership card
所有,suo3you3 adj. all
获得,"huo4de2 v. to get, to obtain"
情况,"qing2kuang4 n. situation, circumstances"
例如,li4ru2 v. for example
举办,"ju3ban4 v. to hold, to conduct"
各,"ge4 pron. Various, different"
降低,"jiang4di1 v. to lower, to reduce"
流血,liu2xie3 v. to bleed
擦,ca1 v. to wipe 
气候,qi4hou4 n. climate
估计,"gu1ji4 v. to estimate, to reckon"
咳嗽,ke2sou v. to cough
严重,"yan2zhong4 adj. serious, grave"
窗户,chuang1hu n. window
空气,kong1qi4 n. air
抽烟,chou1yan1 v. to smoke
动作,dong4zuo4 N. Action, movement
帅,shai4 adj. handsome
出现,"chu1xian4 v. to appear, to emerge"
后悔,huo4hui3 v. regret
来不及,"lai2bu4ji2 v. to have not enough time to, to be too late to"
反对,"fan3dui4 v. to oppose, to object to"
大夫,dai4fu n. doctor
植物,zhi2wu4 n. plant
研究,"yan2jiu1 v. to study, to do research"
超过,"chao1guo4 v. to exceed, to surpass"
散步,san4bu4 v. to take a walk
指,zhi3 v. to refer to
精神,"jing1shen2 n. spirit, mind"
教授,jiao4shou4 n. proffesor
数字,shu4zi4 n. number
说明,"shuo1ming2 v. to explain, to show"
